scenario_id,primary_prompt,paraphrase_prompt,primary_pre_valid,paraphrase_pre_valid,primary_post_valid,paraphrase_post_valid,primary_pre_downstream_ready,paraphrase_pre_downstream_ready,primary_post_downstream_ready,paraphrase_post_downstream_ready,pre_validity_consistent,post_validity_consistent,pre_same_devices,pre_same_triggers,pre_same_actions,pre_same_topology,pre_similarity_score,post_same_devices,post_same_triggers,post_same_actions,post_same_topology,post_similarity_score,post_exact_consistency
S01,"If the Front Door Contact Sensor opens, then turn on the Hallway Light.","If the front door opens, then turn on the hallway light.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S02,"If the Front Door Contact Sensor opens, then send a notification to the homeowner.","If the front door opens, then send a notification to the homeowner.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S03,"If the Front Door Lock becomes unlocked, then send a notification to my phone.","If the front door is unlocked, then send a notification to the homeowner.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S04,"If the Front Door Lock becomes unlocked, then turn on the Hallway Light.","If the front door is unlocked, then turn on the porch light.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S05,"If the Front Door Contact Sensor closes and the time is after 10:00 PM, then lock the Front Door Lock.","If the front door is closed and it is after 10 pm, then lock the front door.",True,False,True,False,True,False,True,False,False,False,True,False,True,False,0.5,False,False,False,False,0.0,False
S06,"If the Front Door Contact Sensor closes and the time is between 10:00 PM and 6:00 AM, then lock the Front Door Lock.","If the front door is closed and it is between the hours of 10:00 PM and 6:00 AM, then lock the front door.",True,True,True,True,True,True,True,True,True,True,True,False,True,True,0.75,True,False,True,True,0.75,False
S07,"If the Front Door Lock becomes unlocked and it is after sunset, then turn on the Hallway Light.","If the front door is unlocked after sunset, then turn on the porch lights.",True,True,True,True,True,True,True,True,True,True,True,True,False,True,0.75,True,True,False,True,0.75,False
S08,"If the sun sets while the Front Door Contact Sensor is closed and the Front Door Lock is locked, then turn on the Hallway Light.","If the front door is closed and locked and the sun sets, then turn on the porch light.",True,False,True,False,True,False,True,False,False,False,True,True,True,False,0.75,False,False,False,False,0.0,False
S09,"If the Front Door Lock is unlocked and motion is detected by the Hallway Motion Sensor, then turn on the Hallway Light.","If the front door is unlocked and motion is active on the front porch motion sensor, then turn on the entryway light.",True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.75,True,True,True,False,0.75,False
S10,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door motion sensor and the door lock is unlocked, then turn on the porch light for 5 minutes.",False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.0,False,False,False,False,0.0,False
S11,"If motion is detected by the Hallway Motion Sensor after sunset, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door sensor and it is after sunset, then turn on the porch light for 5 minutes.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S12,"If the Front Door Contact Sensor stays open for more than 5 minutes, then turn off the Hallway Light.","If the front door is open for more than 5 minutes, then turn off the hallway light.",True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,1.0,True
S13,"If the Front Door Contact Sensor opens and User Presence is not present, then turn on the Hallway Light.","If the front door opens and the presence sensor is not detected, then turn on the hallway lights.",False,True,False,True,False,True,False,True,False,False,True,True,True,False,0.75,False,False,False,False,0.0,False
S14,"If the Front Door Contact Sensor opens while Location Mode is set to Away, then send a notification to the homeowner.","If the front door contact sensor is opened and the mode is set to ""away,"" then send a notification to the homeowner's mobile phone.",True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.75,True,True,True,False,0.75,False
S15,"If the Front Door Lock becomes unlocked while Location Mode is set to Away, then send a notification to the homeowner.","If the front door is unlocked and the current location mode is ""Away,"" then send a notification to the homeowner's phone.",True,True,True,True,True,True,True,True,True,True,True,False,True,False,0.5,True,False,True,False,0.5,False
S16,"If the Front Door Contact Sensor opens while Location Mode is Away, then turn on the Main Alarm Siren and send a notification.","If the front door is opened while the alarm is set to away mode, then set off the siren and send a notification to the homeowner's phone.",True,True,True,True,True,True,True,True,True,True,False,False,True,True,0.5,False,False,True,True,0.5,False
S17,"If User Presence becomes not present and Location Mode is set to Away, then turn off the Hallway Light and lock the Front Door Lock.","If everyone leaves the house and the location mode is set to 'Away', then turn off all lights and lock the front door.",True,True,True,True,True,True,True,True,True,True,True,False,False,False,0.25,True,False,False,False,0.25,False
S18,"If the Front Door Lock remains unlocked for more than 5 minutes, then send a notification.","If the front door is unlocked for more than 5 minutes, then send an SMS to the homeowner alerting them of the issue.",True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.75,True,True,True,False,0.75,False
S19,"If the Front Door Lock becomes unlocked and the time is 10:00 PM, then turn off the Hallway Light and lock the Front Door Lock.","If the front door is unlocked and it is 10 PM, then turn off all lights and lock the front door.",False,False,False,False,False,False,False,False,True,True,False,True,True,False,0.5,True,True,True,True,1.0,True
S20,"If the Front Door Lock becomes unlocked after 9:00 PM, then turn on the Hallway Light and send a notification.","If the front door is unlocked after 9pm, then turn on the entryway light and send a notification.",True,True,True,True,True,True,True,True,True,True,False,True,True,False,0.5,False,True,True,False,0.5,False
